cell,cell_ontology_class,subtissue,mouse.sex,mouse.id,plate.barcode,n_genes,n_counts
A1.B003290.3_38_F.1.1,astrocyte,Striatum,F,3_38_F,B003290,3359,390075.0
A1.B003728.3_56_F.1.1,astrocyte,Striatum,F,3_56_F,B003728,1718,776436.0
A1.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,3910,1616084.0
A1.MAA000564.3_10_M.1.1,endothelial cell,Striatum,M,3_10_M,MAA000564,4352,360004.0
A1.MAA000923.3_9_M.1.1,astrocyte,Hippocampus,M,3_9_M,MAA000923,2248,290282.0
A1.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930,948,574628.0
A1.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932,1728,360714.0
A1.MAA000940.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000940,4451,91133.0
A1.MAA001894.3_39_F.1.1,endothelial cell,Cortex,F,3_39_F,MAA001894,2707,208055.0
A1.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895,2145,98447.0
A10.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290,1801,357171.0
A10.MAA000564.3_10_M.1.1,oligodendrocyte precursor cell,Striatum,M,3_10_M,MAA000564,4074,781172.0
A10.MAA000926.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000926,3106,644465.0
A10.MAA000930.3_8_M.1.1,oligodendrocyte precursor cell,Cortex,M,3_8_M,MAA000930,4234,1613889.0
A10.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932,1906,244270.0
A10.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935,4003,6456990.0
A10.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941,3436,1412909.0
A10.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,3105,1797200.0
A10.MAA001853.3_38_F.1.1,endothelial cell,Cerebellum,F,3_38_F,MAA001853,2195,89683.0
A10.MAA001854.3_38_F.1.1,oligodendrocyte,Cerebellum,F,3_38_F,MAA001854,1724,2724326.0
A11.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,2247,1072489.0
A11.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,Cortex,M,3_10_M,MAA000560,4116,1114433.0
A11.MAA000561.3_10_M.1.1,oligodendrocyte precursor cell,Cortex,M,3_10_M,MAA000561,4952,1648005.0
A11.MAA000564.3_10_M.1.1,neuron,Striatum,M,3_10_M,MAA000564,5950,537018.0
A11.MAA000902.3_11_M.1.1,oligodendrocyte,Striatum,M,3_11_M,MAA000902,2641,2214389.0
A11.MAA000926.3_9_M.1.1,endothelial cell,Cortex,M,3_9_M,MAA000926,4503,734941.0
A11.MAA000928.3_9_M.1.1,Bergmann glial cell,Cerebellum,M,3_9_M,MAA000928,4943,3478822.0
